Region,Division,District,BEIS School ID,School Name,Street Address,Province,Municipality,Legislative District,Barangay,Sector,School Subclassification,School Type,Modified COC,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,JHS NG Male,JHS NG Female,G11 ACAD - ABM Male,G11 ACAD - ABM Female,G11 ACAD - HUMSS Male,G11 ACAD - HUMSS Female,G11 ACAD STEM Male,G11 ACAD STEM Female,G11 ACAD GAS Male,G11 ACAD GAS Female,G11 ACAD PBM Male,G11 ACAD PBM Female,G11 TVL Male,G11 TVL Female,G11 SPORTS Male,G11 SPORTS Female,G11 ARTS Male,G11 ARTS Female,G12 ACAD - ABM Male,G12 ACAD - ABM Female,G12 ACAD - HUMSS Male,G12 ACAD - HUMSS Female,G12 ACAD STEM Male,G12 ACAD STEM Female,G12 ACAD GAS Male,G12 ACAD GAS Female,G12 ACAD PBM Male,G12 ACAD PBM Female,G12 TVL Male,G12 TVL Female,G12 SPORTS Male,G12 SPORTS Female,G12 ARTS Male,G12 ARTS Female
Region IV-A,Dasmarinas City,Dasmariñas I,325902,PALIPARAN II INTEGRATED HIGH SCHOOL,"PALIPARAN II, DASMARINAS CITY CAVITE",CAVITE,CITY OF DASMARIÑAS,4th District,PALIPARAN II,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,282,283,257,321,295,292,320,0,0,34,47,69,52,29,26,0,0,0,0,64,33,0,0,0,0,33,38,74,39,0,0,0,0,0,0,56,42,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,328201,FRANCISCO E. BARZAGA INTEGRATED HIGH SCHOOL,"LAGMAY COMPOUND, MEDINA VILLE",CAVITE,CITY OF DASMARIÑAS,4th District,SAN JOSE,Public,DepED Managed,Mother school,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,284,317,280,335,347,352,397,0,0,36,55,78,79,0,0,0,0,0,0,0,0,0,0,29,30,72,77,145,63,0,0,0,0,0,0,0,0,0,0,28,24
Region IV-A,Dasmarinas City,Dasmariñas I,342298,PALIPARAN III SHS,"PH.  5, PALIPARAN III",CAVITE,CITY OF DASMARIÑAS,2nd District,PALIPARAN III,Public,DepED Managed,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,125,129,168,21,37,0,0,0,0,279,140,0,0,0,0,107,171,135,142,27,37,0,0,0,0,208,154,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,342299,NEW ERA SHS,BRGY SAMPALOC V,CAVITE,CITY OF DASMARIÑAS,2nd District,SAMPALOC V,Public,DepED Managed,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,21,23,0,0,0,0,0,0,0,0,0,0,0,0,11,15,37,34,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401884,"BEAULAH LAND INTEGRATED SYSTEM SCHOOL PHILS., INC.","FAIRWAY VIEW, SALAWAG, DASMARIÑAS CITY",CAVITE,CITY OF DASMARIÑAS,4th District,SALAWAG,Private,Non-Sectarian ,School with no Annexes,ES and JHS,2,8,13,20,12,15,6,9,12,7,18,14,20,17,0,0,23,8,14,5,19,15,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401887,"BLESSED MARY ACADEMY, INC.",AGUINALDO HIGHWAY,CAVITE,CITY OF DASMARIÑAS,4th District,SALITRAN II,Private,Non-Sectarian ,School with no Annexes,ES and JHS,7,6,3,6,15,4,10,14,5,7,12,16,8,13,0,0,18,17,16,20,18,14,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401888,BLESSED SCHOOL OF SALITRAN,B106 L22 STA. LUCIA,CAVITE,CITY OF DASMARIÑAS,4th District,SANTA LUCIA (SAN JUAN II),Private,Sectarian ,School with no Annexes,ES and JHS,2,5,11,4,8,7,3,6,3,4,5,4,9,1,0,0,8,9,9,7,16,13,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401890,BRIGHTWAYS ACADEMY-GUEVARRA CAMPUS,OO1 N.GUEVARRA ST. DASMARINAS CITY,CAVITE,CITY OF DASMARIÑAS,4th District,ZONE I (POB.),Private,Non-Sectarian ,School with no Annexes,ES and JHS,3,4,1,0,3,1,2,2,5,1,1,2,2,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401892,BROOKE'S POINT ACADEMY,PH.  3 MABUHAY HOMES 2000,CAVITE,CITY OF DASMARIÑAS,4th District,PALIPARAN II,Private,Non-Sectarian ,School with no Annexes,ES and JHS,4,0,0,1,2,2,2,1,0,3,1,5,1,3,0,0,6,3,5,3,4,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401899,"ANGEL OF PEACE LEARNING CENTER OF DASMA, INC.",B 47 L 13 P 3 GOLDEN CITY DASMA 1 SALAWAG DASMARINAS CAVITE,CAVITE,CITY OF DASMARIÑAS,4th District,SALAWAG,Private,Sectarian ,School with no Annexes,Purely ES,9,6,10,5,7,7,11,3,9,6,5,8,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401901,CHILDREN OF MARY ACADEMY OF DASMARINAS. INC.,"B26 L6 P1 GOLDEN CITY, SALAWAG, DASMARINAS CITY",CAVITE,CITY OF DASMARIÑAS,4th District,SALAWAG,Private,Sectarian ,School with no Annexes,Purely ES,6,10,9,9,5,6,3,5,1,3,9,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401904,CHRIST LIFE ACADEMY FOUNDATION INC.,B-56 L 2 & 3BAUTISTA PROP.,CAVITE,CITY OF DASMARIÑAS,4th District,SAMPALOC IV,Private,Non-Sectarian ,School with no Annexes,ES and JHS,13,20,7,10,7,10,9,4,8,6,7,7,6,9,0,0,3,4,8,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401905,CHRIST THE KING COLLEGE OF CAVITE - MAIN,"BLK. 1, 2 & 3 DUBLIN ST. PH.  II",CAVITE,CITY OF DASMARIÑAS,4th District,SALAWAG,Private,Non-Sectarian ,Mother school,ES and JHS,22,15,17,16,10,12,14,11,11,5,10,10,13,11,0,0,12,14,15,26,23,10,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401907,"CHRISTAR ACADEMY, INC.",BLK.35 LOT 10 PH.2 CITYHOMES RESORTVILLE SUBD. DASMARINAS CI,CAVITE,CITY OF DASMARIÑAS,4th District,LANGKAAN II,Private,Non-Sectarian ,School with no Annexes,ES and JHS,28,18,24,14,27,14,15,14,13,4,19,20,22,16,0,0,17,9,16,18,30,10,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401909,"CHRISTIAN VISION SCHOOL OF DASMARIÑAS, INC.","39 P. CAMPOS AVE., DASMARIÑAS CITY",CAVITE,CITY OF DASMARIÑAS,4th District,ZONE II (POB.),Private,Non-Sectarian ,School with no Annexes,Purely ES,4,12,9,4,5,6,7,9,5,6,7,9,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401910,"CHRISTIANHOOD LEARNING CENTER, INC","R.S. TIRONA RD., SAN AGUSTIN 2",CAVITE,CITY OF DASMARIÑAS,4th District,SAN AGUSTIN II,Private,Non-Sectarian ,School with no Annexes,Purely ES,5,4,3,4,2,1,3,3,4,2,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401915,COLEGIO DE SALITRAN,"B9 L22, 30, 31, SOUTH GARDEN HOMES",CAVITE,CITY OF DASMARIÑAS,4th District,SALITRAN III,Private,Non-Sectarian ,School with no Annexes,ES and JHS,5,1,4,5,9,3,5,3,4,4,5,5,4,1,0,0,4,13,22,16,12,7,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401916,CORINTHIAN INSTITUTE OF CAVITE,BLK C4 LOT 11,CAVITE,CITY OF DASMARIÑAS,4th District,BUROL I,Private,Non-Sectarian ,School with no Annexes,ES and JHS,19,15,17,15,23,18,22,16,10,11,22,23,20,10,0,0,20,21,18,22,16,27,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401918,DANHILL ACADEMY,"NIA RD.  SALAWAG CITY OF DASMARINAS, CAVITE",CAVITE,CITY OF DASMARIÑAS,4th District,SALAWAG,Private,Non-Sectarian ,School with no Annexes,ES and JHS,3,4,7,4,7,5,3,9,7,4,16,7,8,6,0,0,11,9,10,11,11,17,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401919,DANSART ANGELS ACADEMY,"BLK. 24 LOT 13-18, ROME ST., SUMMERWIND VILLAGE IV",CAVITE,CITY OF DASMARIÑAS,4th District,BUROL,Private,Non-Sectarian ,School with no Annexes,ES and JHS,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401925,DISCIPLES LEARNING ACADEMY OF DASMARIÑAS INC.,410 DON PLACIDO CAMPOS AVE.  SABANG DASMARINAS CAVITE,CAVITE,CITY OF DASMARIÑAS,4th District,SABANG,Private,Non-Sectarian ,School with no Annexes,Purely ES,5,8,6,4,4,7,8,10,6,1,10,9,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401931,"FAMILY LIFE LEARNING ACADEMY, INC.",BLK 16 LOT 1-4 BAHAI PANGRAP SUBD.,CAVITE,CITY OF DASMARIÑAS,4th District,SAMPALOC IV,Private,Non-Sectarian ,School with no Annexes,Purely ES,7,4,4,3,5,4,3,2,2,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401938,GOD THE ALMIGHTY ACADEMY,"BLK 1 LOTS 21-23 PH.  1, MAINAVE., WINDWARD HILLS SUBDIVI",CAVITE,CITY OF DASMARIÑAS,4th District,BUROL I,Private,Non-Sectarian ,School with no Annexes,ES and JHS,7,8,4,4,11,9,2,5,9,7,5,6,11,5,0,0,6,6,7,5,5,5,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,401946,GRACE BAPTIST ACADEMY OF DASMARIÑAS INC.,BLK. 11 LOT 1-6,CAVITE,CITY OF DASMARIÑAS,4th District,SANTA FE,Private,Non-Sectarian ,School with no Annexes,ES and JHS,5,5,2,5,3,10,6,5,2,2,7,6,2,4,0,0,4,5,0,4,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
